Baseline,Astyx,TruckScenes-mini,V2X-Radar-V-400,K-Radar-400,MacroMean,Completed
RadarPillar,18.8006,5.5600,30.0646,32.9914,21.8541,4/4
PointPillars,17.1414,11.9058,32.9590,31.9160,23.4806,4/4
MAFF-Net,14.8022,11.3625,23.2357,2.0081,12.8521,4/4
PV-RCNN,14.3216,6.0524,13.3476,2.9420,9.1659,4/4
Voxel R-CNN,13.7367,2.1706,9.1176,21.4797,11.6262,4/4
VoxelNeXt,12.4657,2.7029,15.1061,20.5481,12.7057,4/4
SECOND,10.2040,2.6218,9.9993,15.2708,9.5240,4/4
CenterPoint,9.4416,2.6889,14.5770,11.9113,9.6547,4/4
PillarNet,7.3324,2.8710,9.7977,9.0488,7.2625,4/4
PV-RCNN++,6.0159,3.6516,11.2030,15.3282,9.0497,4/4
Part-A²,3.5379,2.2953,10.8219,11.8770,7.1330,4/4
PointRCNN,0.0000,0.0000,0.0000,0.0000,0.0000,4/4
TransFusion,0.0000,0.0000,0.0000,0.0000,0.0000,4/4
