module,dataset,seed,ap,complete,error,log
atss15,astyx,2028,,False,True,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_atss15_astyx_seed2028_gpu3.log
atss5,astyx,2028,,False,True,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_atss5_astyx_seed2028_gpu2.log
atss,astyx,2028,0.0,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_atss_astyx_seed2028_gpu0.log
atss,kradar,2028,,False,True,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_atss_kradar_seed2028_gpu3.log
atss,truckscenes,2028,,False,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_atss_truckscenes_seed2028_gpu1.log
atss,v2xradarv,2028,,False,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_atss_v2xradarv_seed2028_gpu2.log
bevgate,astyx,2026,27.3264,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_bevgate_astyx_seed2026_gpu0.log
bevgate,astyx,2027,26.328,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_bevgate_astyx_seed2027_gpu0.log
bevgate,astyx,2028,27.2204,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_bevgate_astyx_seed2028_gpu0.log
bevgate_dapg,astyx,2026,26.8784,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_bevgate_dapg_astyx_seed2026_gpu0.log
bevgate_dapg,astyx,2027,28.7725,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_bevgate_dapg_astyx_seed2027_gpu0.log
bevgate_dapg,astyx,2028,26.0238,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_bevgate_dapg_astyx_seed2028_gpu0.log
bevgate_dapg,kradar,2026,53.5589,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_bevgate_dapg_kradar_seed2026_gpu3.log
bevgate_dapg,kradar,2027,49.8472,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_bevgate_dapg_kradar_seed2027_gpu3.log
bevgate_dapg,kradar,2028,51.7307,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_bevgate_dapg_kradar_seed2028_gpu3.log
bevgate_dapg_msbc,astyx,2026,28.0912,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_bevgate_dapg_msbc_astyx_seed2026_gpu0.log
bevgate_dapg_msbc,astyx,2027,28.2602,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_bevgate_dapg_msbc_astyx_seed2027_gpu0.log
bevgate_dapg_msbc,astyx,2028,27.9382,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_bevgate_dapg_msbc_astyx_seed2028_gpu0.log
bevgate_dapg_msbc,kradar,2026,54.4423,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_bevgate_dapg_msbc_kradar_seed2026_gpu3.log
bevgate_dapg_msbc,kradar,2027,,False,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_bevgate_dapg_msbc_kradar_seed2027_gpu3.log
bevgate_dapg_msbc,kradar,2028,,False,True,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_bevgate_dapg_msbc_kradar_seed2028_gpu3.log
