dataset,range_power,support_scale,alpha,ap,status
astyx,0p0,1p0,0p05,34.3905,complete
astyx,0p0,1p0,0p10,32.7462,complete
astyx,0p0,1p0,0p20,31.7292,complete
astyx,0p0,1p0,0p30,31.6998,complete
astyx,0p0,2p0,0p05,34.4516,complete
astyx,0p0,2p0,0p10,32.7528,complete
astyx,0p0,2p0,0p20,31.7317,complete
astyx,0p0,2p0,0p30,31.3397,complete
astyx,0p0,4p0,0p05,34.3606,complete
astyx,0p0,4p0,0p10,32.8487,complete
astyx,0p0,4p0,0p20,31.4835,complete
astyx,0p0,4p0,0p30,30.7702,complete
astyx,0p0,8p0,0p05,34.4981,complete
astyx,0p0,8p0,0p10,32.7406,complete
astyx,0p0,8p0,0p20,31.0463,complete
astyx,0p0,8p0,0p30,29.5441,complete
astyx,1p0,1p0,0p05,34.3832,complete
astyx,1p0,1p0,0p10,32.5933,complete
astyx,1p0,1p0,0p20,31.5520,complete
astyx,1p0,1p0,0p30,31.4457,complete
astyx,1p0,2p0,0p05,34.3730,complete
astyx,1p0,2p0,0p10,32.5899,complete
astyx,1p0,2p0,0p20,31.4342,complete
astyx,1p0,2p0,0p30,31.1998,complete
astyx,1p0,4p0,0p05,34.3882,complete
astyx,1p0,4p0,0p10,32.4951,complete
astyx,1p0,4p0,0p20,31.2899,complete
astyx,1p0,4p0,0p30,30.6221,complete
astyx,1p0,8p0,0p05,34.3304,complete
astyx,1p0,8p0,0p10,32.5639,complete
astyx,1p0,8p0,0p20,30.7039,complete
astyx,1p0,8p0,0p30,29.6149,complete
astyx,2p0,1p0,0p05,34.3015,complete
astyx,2p0,1p0,0p10,32.5182,complete
astyx,2p0,1p0,0p20,31.4162,complete
astyx,2p0,1p0,0p30,31.2241,complete
astyx,2p0,2p0,0p05,34.2251,complete
astyx,2p0,2p0,0p10,32.5504,complete
astyx,2p0,2p0,0p20,31.3171,complete
astyx,2p0,2p0,0p30,30.8172,complete
astyx,2p0,4p0,0p05,34.3517,complete
astyx,2p0,4p0,0p10,32.3806,complete
astyx,2p0,4p0,0p20,30.8463,complete
astyx,2p0,4p0,0p30,30.1638,complete
astyx,2p0,8p0,0p05,34.3949,complete
astyx,2p0,8p0,0p10,32.3801,complete
astyx,2p0,8p0,0p20,30.6616,complete
astyx,2p0,8p0,0p30,28.7882,complete
kradar,0p0,1p0,0p05,53.5161,complete
kradar,0p0,1p0,0p10,53.5202,complete
kradar,0p0,1p0,0p20,53.5365,complete
kradar,0p0,1p0,0p30,53.5393,complete
kradar,0p0,2p0,0p05,53.5181,complete
kradar,0p0,2p0,0p10,53.5229,complete
kradar,0p0,2p0,0p20,53.5410,complete
kradar,0p0,2p0,0p30,53.5439,complete
kradar,0p0,4p0,0p05,53.5208,complete
kradar,0p0,4p0,0p10,53.5269,complete
kradar,0p0,4p0,0p20,53.5528,complete
kradar,0p0,4p0,0p30,53.5565,complete
kradar,0p0,8p0,0p05,53.5272,complete
kradar,0p0,8p0,0p10,53.5398,complete
kradar,0p0,8p0,0p20,53.5741,complete
kradar,0p0,8p0,0p30,53.5939,complete
kradar,1p0,1p0,0p05,53.5165,complete
kradar,1p0,1p0,0p10,53.5213,complete
kradar,1p0,1p0,0p20,53.5377,complete
