method,dataset,seed,ap
rdar,astyx,2026,32.7281
rdar,astyx,2027,31.4220
rdar,astyx,2028,34.3540
rdar,truckscenes,2026,15.4127
rdar,truckscenes,2027,18.3845
rdar,truckscenes,2028,15.3041
rdar,v2xradarv,2026,40.7802
rdar,v2xradarv,2027,42.9899
rdar,v2xradarv,2028,41.3385
rdar,kradar,2026,51.3450
rdar,kradar,2027,48.1767
rdar,kradar,2028,52.0271
qflr55,astyx,2026,35.5364
qflr55,astyx,2027,34.9632
qflr55,astyx,2028,37.0318
qflr55,truckscenes,2026,15.5157
qflr55,truckscenes,2027,17.9295
qflr55,truckscenes,2028,17.4530
qflr55,v2xradarv,2026,43.3734
qflr55,v2xradarv,2027,47.2653
qflr55,v2xradarv,2028,42.5979
qflr55,kradar,2026,54.7940
qflr55,kradar,2027,58.8103
qflr55,kradar,2028,59.4687
q55rpa50_kprior,astyx,2026,35.9197
q55rpa50_kprior,astyx,2027,37.1833
q55rpa50_kprior,astyx,2028,37.8373
q55rpa50_kprior,truckscenes,2026,15.5086
q55rpa50_kprior,truckscenes,2027,17.1075
q55rpa50_kprior,truckscenes,2028,17.8028
q55rpa50_kprior,v2xradarv,2026,44.5943
q55rpa50_kprior,v2xradarv,2027,44.7477
q55rpa50_kprior,v2xradarv,2028,43.7939
q55rpa50_kprior,kradar,2026,58.8382
q55rpa50_kprior,kradar,2027,56.4281
q55rpa50_kprior,kradar,2028,59.6960
