vote_iou,strength,dataset,seed,ap_r40_3d_iou_0.50,baseline_rdar_ap,delta,source
0.24,0.45,astyx,2026,33.213700,32.728100,0.485600,original_cuda_log
0.24,0.45,astyx,2027,31.728500,31.422000,0.306500,original_cuda_log
0.24,0.45,astyx,2028,35.605872,34.354000,1.251872,cpu_iou_recovery_verified_against_cuda
0.24,0.45,truckscenes,2026,15.941200,15.412700,0.528500,original_cuda_log
0.24,0.45,truckscenes,2027,19.215400,18.384500,0.830900,original_cuda_log
0.24,0.45,truckscenes,2028,16.234776,15.304100,0.930676,cpu_iou_recovery_verified_against_cuda
0.24,0.45,v2xradarv,2026,40.963400,40.780200,0.183200,original_cuda_log
0.24,0.45,v2xradarv,2027,43.150300,42.989900,0.160400,original_cuda_log
0.24,0.45,v2xradarv,2028,42.542235,41.338500,1.203735,cpu_iou_recovery_verified_against_cuda
0.24,0.45,kradar,2026,53.950900,51.345000,2.605900,original_cuda_log
0.24,0.45,kradar,2027,49.177700,48.176700,1.001000,original_cuda_log
0.24,0.45,kradar,2028,52.873436,52.027100,0.846336,cpu_iou_recovery_verified_against_cuda
0.25,0.40,astyx,2026,33.742300,32.728100,1.014200,original_cuda_log
0.25,0.40,astyx,2027,32.464500,31.422000,1.042500,original_cuda_log
0.25,0.40,astyx,2028,35.349334,34.354000,0.995334,cpu_iou_recovery_verified_against_cuda
0.25,0.40,truckscenes,2026,16.426800,15.412700,1.014100,original_cuda_log
0.25,0.40,truckscenes,2027,19.037600,18.384500,0.653100,original_cuda_log
0.25,0.40,truckscenes,2028,16.476371,15.304100,1.172271,cpu_iou_recovery_verified_against_cuda
0.25,0.40,v2xradarv,2026,41.053500,40.780200,0.273300,original_cuda_log
0.25,0.40,v2xradarv,2027,42.824100,42.989900,-0.165800,original_cuda_log
0.25,0.40,v2xradarv,2028,42.489113,41.338500,1.150613,cpu_iou_recovery_verified_against_cuda
0.25,0.40,kradar,2026,53.531400,51.345000,2.186400,original_cuda_log
0.25,0.40,kradar,2027,49.263100,48.176700,1.086400,original_cuda_log
0.25,0.40,kradar,2028,53.413192,52.027100,1.386092,cpu_iou_recovery_verified_against_cuda
0.25,0.45,astyx,2026,33.604200,32.728100,0.876100,original_cuda_log
0.25,0.45,astyx,2027,32.122100,31.422000,0.700100,original_cuda_log
0.25,0.45,astyx,2028,35.529423,34.354000,1.175423,cpu_iou_recovery_verified_against_cuda
0.25,0.45,truckscenes,2026,15.994800,15.412700,0.582100,original_cuda_log
0.25,0.45,truckscenes,2027,19.052600,18.384500,0.668100,original_cuda_log
0.25,0.45,truckscenes,2028,16.484476,15.304100,1.180376,cpu_iou_recovery_verified_against_cuda
0.25,0.45,v2xradarv,2026,41.053500,40.780200,0.273300,original_cuda_log
0.25,0.45,v2xradarv,2027,42.826500,42.989900,-0.163400,original_cuda_log
0.25,0.45,v2xradarv,2028,42.507639,41.338500,1.169139,cpu_iou_recovery_verified_against_cuda
0.25,0.45,kradar,2026,53.531300,51.345000,2.186300,original_cuda_log
0.25,0.45,kradar,2027,49.177800,48.176700,1.001100,original_cuda_log
0.25,0.45,kradar,2028,53.413187,52.027100,1.386087,cpu_iou_recovery_verified_against_cuda
