vote_iou,strength,macro_ap,positive_count,status
0.22,0.35,36.1989,10,evaluated
0.22,0.40,36.1364,12,evaluated
0.22,0.45,36.0108,11,evaluated
0.22,0.50,35.7647,7,evaluated
0.24,0.35,36.3020,11,evaluated
0.24,0.40,36.3278,12,selected
0.24,0.45,36.2165,12,evaluated
0.24,0.50,36.0479,12,evaluated
0.25,0.35,36.2947,11,evaluated
0.25,0.40,36.3393,11,evaluated
0.25,0.45,36.2748,11,evaluated
0.25,0.50,36.1118,11,evaluated
0.26,0.35,36.1745,10,evaluated
0.26,0.40,36.1972,10,evaluated
0.26,0.45,36.1636,11,evaluated
0.26,0.50,36.0960,11,evaluated
0.28,0.35,36.2011,11,evaluated
0.28,0.40,36.2069,11,evaluated
0.28,0.45,36.1430,11,evaluated
0.28,0.50,36.0830,10,evaluated
