"module","dataset","seed","ap","complete","error","log"
"atss15","astyx","2028","","False","True","/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_atss15_astyx_seed2028_gpu3.log"
"atss5","astyx","2028","","False","True","/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_atss5_astyx_seed2028_gpu2.log"
"atss","kradar","2028","","False","True","/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_atss_kradar_seed2028_gpu3.log"
"bevgate_dapg_msbc","kradar","2028","","False","True","/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_bevgate_dapg_msbc_kradar_seed2028_gpu3.log"
"bevgate","kradar","3407","","False","True","/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_bevgate_kradar_seed3407_gpu3.log"
"four_modules","kradar","2026","","False","True","/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_four_modules_kradar_seed2026_gpu3.log"
"four_modules","kradar","2027","","False","True","/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_four_modules_kradar_seed2027_gpu3.log"
"msbc3","kradar","2028","","False","True","/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_msbc3_kradar_seed2028_gpu3.log"
"rpa45","astyx","2028","","False","True","/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_rpa45_astyx_seed2028_gpu3.log"
"stable_bevgate_dapg_msbc","kradar","2029","","False","True","/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_stable_bevgate_dapg_msbc_kradar_seed2029_gpu3.log"
"stable_bevgate_dapg_msbc","kradar","5623","","False","True","/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_stable_bevgate_dapg_msbc_kradar_seed5623_gpu3.log"
"stable_four_modules","kradar","2036","","False","True","/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_stable_four_modules_kradar_seed2036_gpu3.log"
