module,dataset,seed,complete,error,result_count,ckpt_count,best_result_path,best_result_size,best_ckpt_path,best_ckpt_size
atss,truckscenes,2028,False,False,0,0,,,,
atss,v2xradarv,2028,False,False,3,1,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_dtqcatss_v2xradarv_car/eval_rcnms_dtqcatss_v2xradarv_seed2028/eval/epoch_160/val/default/result.pkl,4037954,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_dtqcatss_v2xradarv_car/screen_dtqcatss_v2xradarv_seed2028/ckpt/checkpoint_epoch_160.pth,58069649
bevgate_dapg_msbc,kradar,2027,False,False,3,3,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_bevgate_dapg_msbc_kradar_car/fair_stable_bevgate_dapg_msbc_kradar_seed6001/eval/eval_with_train/epoch_160/val/result.pkl,82359,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_bevgate_dapg_msbc_kradar_car/fair_stable_bevgate_dapg_msbc_kradar_seed2037/ckpt/checkpoint_epoch_160.pth,59201868
bevgate,kradar,2027,False,False,3,2,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/cfgs/astyx_models/pointpillars_bevgate_kradar_car/fair_rcnms_kradar_seed2027/eval/epoch_160/val/default/result.pkl,4037954,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_bevgate_dapg_kradar_car/fair_bevgate_dapg_kradar_seed2027/ckpt/checkpoint_epoch_160.pth,58570904
corner,truckscenes,2028,False,False,0,0,,,,
dapg2,astyx,2035,False,False,8,4,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_dapg2_astyx_car/fair_dapg2_astyx_seed2035/eval/eval_with_train/epoch_160/val/result.pkl,183655,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_dapg2_truckscenes_car/fair_dapg2_truckscenes_seed2035/ckpt/checkpoint_epoch_160.pth,58121789
dapg2,kradar,2035,False,False,2,1,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_dapg2_kradar_car/fair_dapg2_kradar_seed2035_gpu1_fixed/eval/epoch_160/val/default/result.pkl,78150,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_dapg2_kradar_car/fair_dapg2_kradar_seed2035/ckpt/checkpoint_epoch_160.pth,58121789
dapg2,kradar,2035,False,False,2,1,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_dapg2_kradar_car/fair_dapg2_kradar_seed2035_gpu1_fixed/eval/epoch_160/val/default/result.pkl,78150,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_dapg2_kradar_car/fair_dapg2_kradar_seed2035/ckpt/checkpoint_epoch_160.pth,58121789
dapg2,kradar,2035,False,False,2,1,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_dapg2_kradar_car/fair_dapg2_kradar_seed2035_gpu1_fixed/eval/epoch_160/val/default/result.pkl,78150,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_dapg2_kradar_car/fair_dapg2_kradar_seed2035/ckpt/checkpoint_epoch_160.pth,58121789
dapg2,v2xradarv,2035,False,False,2,1,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_dapg2_v2xradarv_car/fair_dapg2_v2xradarv_seed2035_gpu1_fixed/eval/epoch_160/val/default/result.pkl,97357,/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_dapg2_v2xradarv_car/fair_dapg2_v2xradarv_seed2035/ckpt/checkpoint_epoch_160.pth,58121789
