"module","dataset","seed","ap","complete","error","log"
"atss","truckscenes","2028","","False","False","/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_atss_truckscenes_seed2028_gpu1.log"
"atss","v2xradarv","2028","","False","False","/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_atss_v2xradarv_seed2028_gpu2.log"
"bevgate_dapg_msbc","kradar","2027","","False","False","/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_bevgate_dapg_msbc_kradar_seed2027_gpu3.log"
"bevgate","kradar","2027","","False","False","/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_bevgate_kradar_seed2027_gpu3.log"
"dapg2","astyx","2035","","False","False","/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_dapg2_astyx_seed2035_gpu0.log"
"dapg2","kradar","2035","","False","False","/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_dapg2_kradar_seed2035_gpu0.log"
"dapg2","kradar","2035","","False","False","/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_dapg2_kradar_seed2035_gpu1.log"
"dapg2","kradar","2035","","False","False","/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_dapg2_kradar_seed2035_gpu2.log"
"dapg2","v2xradarv","2035","","False","False","/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_dapg2_v2xradarv_seed2035_gpu1.log"
"dapg3","kradar","2035","","False","False","/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_dapg3_kradar_seed2035_gpu1.log"
"dapg3","kradar","2035","","False","False","/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_dapg3_kradar_seed2035_gpu2.log"
"four_modules","kradar","2036","","False","False","/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_four_modules_kradar_seed2036_gpu3.log"
"four_modules","kradar","3407","","False","False","/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_four_modules_kradar_seed3407_gpu3.log"
"iouaware","astyx","5623","","False","False","/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_iouaware_astyx_seed5623_gpu3.log"
