"module","dataset","seed","result_count","ckpt_count","best_result_size","best_ckpt_size","best_result_path","best_ckpt_path"
"stable_bevgate_dapg","astyx","5623","14","7","185869","59201868","/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_bevgate_dapg_astyx_car/fair_stable_bevgate_dapg_astyx_seed5623/eval/eval_with_train/epoch_160/val/result.pkl","/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_bevgate_dapg_msbc_truckscenes_car/fair_stable_bevgate_dapg_msbc_truckscenes_seed5623/ckpt/checkpoint_epoch_160.pth"
"rpa50","truckscenes","2028","12","4","4037954","58040692","/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_q55rpa50_nms040_truckscenes_car/screen_q55rpa50_nms040_truckscenes_seed2028/eval/eval_with_train/epoch_160/val/result.pkl","/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_q55rpa50_score005_truckscenes_car/screen_q55rpa50_score005_truckscenes_seed2028/ckpt/checkpoint_epoch_160.pth"
"rccg","astyx","2026","9","4","7847657","58711801","/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_q55rccg_astyx_car/eval_rcnms_q55rccg_astyx_seed2028/eval/epoch_160/val/default/result.pkl","/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_q55rccg_astyx_car/screen_q55rccg_astyx_seed2028/ckpt/checkpoint_epoch_160.pth"
"dapg2","astyx","2035","8","4","183655","58121789","/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_dapg2_astyx_car/fair_dapg2_astyx_seed2035/eval/eval_with_train/epoch_160/val/result.pkl","/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_dapg2_truckscenes_car/fair_dapg2_truckscenes_seed2035/ckpt/checkpoint_epoch_160.pth"
"stable_four_modules","astyx","5623","7","4","183655","59205655","/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_four_modules_astyx_car/fair_stable_four_modules_astyx_seed5623/eval/eval_with_train/epoch_160/val/result.pkl","/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_four_modules_truckscenes_car/fair_stable_four_modules_truckscenes_seed5623/ckpt/checkpoint_epoch_160.pth"
"stable_bevgate_dapg_msbc","astyx","5623","6","3","181486","59201868","/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_bevgate_dapg_msbc_astyx_car/fair_stable_bevgate_dapg_msbc_astyx_seed5623_gpu0_fixed/eval/epoch_160/val/default/result.pkl","/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_bevgate_dapg_msbc_truckscenes_car/fair_stable_bevgate_dapg_msbc_truckscenes_seed5623/ckpt/checkpoint_epoch_160.pth"
"stable_bevgate_dapg_msbc","astyx","5623","6","3","181486","59201868","/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_bevgate_dapg_msbc_astyx_car/fair_stable_bevgate_dapg_msbc_astyx_seed5623_gpu0_fixed/eval/epoch_160/val/default/result.pkl","/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_bevgate_dapg_msbc_truckscenes_car/fair_stable_bevgate_dapg_msbc_truckscenes_seed5623/ckpt/checkpoint_epoch_160.pth"
"iouaware","astyx","5623","5","4","7847657","58069628","/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_iouaware_astyx_car/fair_iouaware_astyx_seed5623/eval/eval_with_train/epoch_160/val/result.pkl","/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_iouaware_truckscenes_car/fair_iouaware_truckscenes_seed5623/ckpt/checkpoint_epoch_160.pth"
"msbc2","astyx","2035","5","4","190426","58670978","/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_msbc2_astyx_car/fair_msbc2_astyx_seed2035/eval/eval_with_train/epoch_160/val/result.pkl","/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_msbc2_truckscenes_car/fair_msbc2_truckscenes_seed2035/ckpt/checkpoint_epoch_160.pth"
"four_modules","kradar","3407","5","3","33424","59205655","/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_four_modules_kradar_car/fair_stable_four_modules_kradar_seed5623_gpu1_fixed/eval/epoch_160/val/default/result.pkl","/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/output/root/autodl-tmp/radar_champion/repos/OpenPCDet_current/tools/cfgs/astyx_models/pointpillars_stable_four_modules_kradar_car/fair_stable_four_modules_kradar_seed5623/ckpt/checkpoint_epoch_160.pth"
