holdout_dataset,seed,vote_iou,strength,selected_tag,baseline_ap,candidate_ap,delta_ap,train_mean_delta,train_min_delta
astyx,2026,0.22,0.4,m3rob_q15p25_viou0p22_s0p40,32.7281,33.2512,0.5230999999999995,0.8739666666666673,0.025200000000001666
astyx,2027,0.22,0.4,m3rob_q15p25_viou0p22_s0p40,31.422,32.2137,0.7917000000000023,0.8739666666666673,0.025200000000001666
astyx,2028,0.22,0.4,m3rob_q15p25_viou0p22_s0p40,34.354,34.5471,0.19310000000000116,0.8739666666666673,0.025200000000001666
truckscenes,2026,0.22,0.4,m3rob_q15p25_viou0p22_s0p40,15.4127,15.4379,0.025200000000001666,0.8660444444444452,0.1623000000000019
truckscenes,2027,0.22,0.4,m3rob_q15p25_viou0p22_s0p40,18.3845,18.9652,0.5807000000000002,0.8660444444444452,0.1623000000000019
truckscenes,2028,0.22,0.4,m3rob_q15p25_viou0p22_s0p40,15.3041,16.2774,0.9733,0.8660444444444452,0.1623000000000019
v2xradarv,2026,0.24,0.35,m3rob_q15p25_viou0p24_s0p35,40.7802,40.9479,0.1676999999999964,1.1825777777777793,0.5248000000000062
v2xradarv,2027,0.24,0.35,m3rob_q15p25_viou0p24_s0p35,42.9899,42.6954,-0.2944999999999993,1.1825777777777793,0.5248000000000062
v2xradarv,2028,0.24,0.35,m3rob_q15p25_viou0p24_s0p35,41.3385,42.1828,0.8442999999999969,1.1825777777777793,0.5248000000000062
kradar,2026,0.22,0.4,m3rob_q15p25_viou0p22_s0p40,51.345,53.9389,2.593899999999998,0.4803222222222225,0.025200000000001666
kradar,2027,0.22,0.4,m3rob_q15p25_viou0p22_s0p40,48.1767,49.2475,1.0708000000000055,0.4803222222222225,0.025200000000001666
kradar,2028,0.22,0.4,m3rob_q15p25_viou0p22_s0p40,52.0271,53.4131,1.3860000000000028,0.4803222222222225,0.025200000000001666
