dataset,seed,vote_iou,strength,ap,delta_vs_rdar,log
truckscenes,2028,0.3,0.25,15.3,-0.004099999999999326,vote_iou0p30_s0p25_truckscenes_seed2028_gpu0.log
truckscenes,2028,0.3,0.4,16.3179,1.0138000000000016,vote_iou0p30_s0p40_truckscenes_seed2028_gpu0.log
truckscenes,2028,0.3,0.5,16.8046,1.5005000000000006,vote_iou0p30_s0p50_truckscenes_seed2028_gpu0.log
truckscenes,2028,0.3,0.6,16.8033,1.4992,vote_iou0p30_s0p60_truckscenes_seed2028_gpu0.log
truckscenes,2028,0.3,0.75,16.9217,1.6176000000000013,vote_iou0p30_s0p75_truckscenes_seed2028_gpu0.log
truckscenes,2028,0.35,0.25,15.1706,-0.13349999999999973,vote_iou0p35_s0p25_truckscenes_seed2028_gpu0.log
truckscenes,2028,0.35,0.4,15.2991,-0.005000000000000782,vote_iou0p35_s0p40_truckscenes_seed2028_gpu0.log
truckscenes,2028,0.35,0.5,15.2992,-0.004899999999999238,vote_iou0p35_s0p50_truckscenes_seed2028_gpu0.log
truckscenes,2028,0.35,0.6,14.8913,-0.4128000000000007,vote_iou0p35_s0p60_truckscenes_seed2028_gpu0.log
truckscenes,2028,0.35,0.75,14.6739,-0.6302000000000003,vote_iou0p35_s0p75_truckscenes_seed2028_gpu0.log
truckscenes,2028,0.4,0.25,15.4089,0.10479999999999912,vote_iou0p40_s0p25_truckscenes_seed2028_gpu0.log
truckscenes,2028,0.4,0.4,15.331,0.02689999999999948,vote_iou0p40_s0p40_truckscenes_seed2028_gpu0.log
truckscenes,2028,0.4,0.5,15.3506,0.046499999999999986,vote_iou0p40_s0p50_truckscenes_seed2028_gpu0.log
truckscenes,2028,0.4,0.6,15.1848,-0.11930000000000085,vote_iou0p40_s0p60_truckscenes_seed2028_gpu0.log
truckscenes,2028,0.4,0.75,15.1273,-0.17680000000000007,vote_iou0p40_s0p75_truckscenes_seed2028_gpu0.log
truckscenes,2028,0.45,0.25,15.404,0.09989999999999988,vote_iou0p45_s0p25_truckscenes_seed2028_gpu0.log
truckscenes,2028,0.45,0.4,15.3681,0.06400000000000006,vote_iou0p45_s0p40_truckscenes_seed2028_gpu0.log
truckscenes,2028,0.45,0.5,15.3703,0.06620000000000026,vote_iou0p45_s0p50_truckscenes_seed2028_gpu0.log
truckscenes,2028,0.45,0.6,15.3372,0.03309999999999924,vote_iou0p45_s0p60_truckscenes_seed2028_gpu0.log
truckscenes,2028,0.45,0.75,15.3221,0.018000000000000682,vote_iou0p45_s0p75_truckscenes_seed2028_gpu0.log
v2xradarv,2028,0.3,0.25,41.2757,-0.06280000000000285,vote_iou0p30_s0p25_v2xradarv_seed2028_gpu1.log
v2xradarv,2028,0.3,0.4,40.9704,-0.3681000000000054,vote_iou0p30_s0p40_v2xradarv_seed2028_gpu1.log
v2xradarv,2028,0.3,0.5,41.095,-0.2435000000000045,vote_iou0p30_s0p50_v2xradarv_seed2028_gpu1.log
v2xradarv,2028,0.3,0.6,40.726,-0.6125000000000043,vote_iou0p30_s0p60_v2xradarv_seed2028_gpu1.log
v2xradarv,2028,0.3,0.75,40.3007,-1.0378000000000043,vote_iou0p30_s0p75_v2xradarv_seed2028_gpu1.log
v2xradarv,2028,0.35,0.25,40.9729,-0.3656000000000006,vote_iou0p35_s0p25_v2xradarv_seed2028_gpu1.log
v2xradarv,2028,0.35,0.4,40.5954,-0.7431000000000054,vote_iou0p35_s0p40_v2xradarv_seed2028_gpu1.log
v2xradarv,2028,0.35,0.5,40.6561,-0.6824000000000012,vote_iou0p35_s0p50_v2xradarv_seed2028_gpu1.log
v2xradarv,2028,0.35,0.6,40.6711,-0.6674000000000007,vote_iou0p35_s0p60_v2xradarv_seed2028_gpu1.log
v2xradarv,2028,0.35,0.75,40.2784,-1.0601000000000056,vote_iou0p35_s0p75_v2xradarv_seed2028_gpu1.log
v2xradarv,2028,0.4,0.25,42.1186,0.7800999999999974,vote_iou0p40_s0p25_v2xradarv_seed2028_gpu1.log
v2xradarv,2028,0.4,0.4,41.4358,0.09729999999999706,vote_iou0p40_s0p40_v2xradarv_seed2028_gpu1.log
v2xradarv,2028,0.4,0.5,41.2936,-0.04490000000000549,vote_iou0p40_s0p50_v2xradarv_seed2028_gpu1.log
v2xradarv,2028,0.4,0.6,41.2936,-0.04490000000000549,vote_iou0p40_s0p60_v2xradarv_seed2028_gpu1.log
v2xradarv,2028,0.4,0.75,41.1827,-0.15580000000000638,vote_iou0p40_s0p75_v2xradarv_seed2028_gpu1.log
v2xradarv,2028,0.45,0.25,40.6813,-0.6572000000000031,vote_iou0p45_s0p25_v2xradarv_seed2028_gpu1.log
v2xradarv,2028,0.45,0.4,40.2633,-1.0752000000000024,vote_iou0p45_s0p40_v2xradarv_seed2028_gpu1.log
v2xradarv,2028,0.45,0.5,40.2643,-1.0742000000000047,vote_iou0p45_s0p50_v2xradarv_seed2028_gpu1.log
v2xradarv,2028,0.45,0.6,39.7304,-1.6081000000000003,vote_iou0p45_s0p60_v2xradarv_seed2028_gpu1.log
v2xradarv,2028,0.45,0.75,39.1804,-2.1581000000000046,vote_iou0p45_s0p75_v2xradarv_seed2028_gpu1.log
