dataset,seed,proposal_count,frames,dense_iou_ms_mean,dense_iou_ms_std,voting_loop_ms_mean,voting_loop_ms_std,total_ms_mean,neighbor_links,voted_boxes,peak_gpu_memory_mb
astyx,2028,50,100,0.6599492614505568,0.024436240948629888,0.9063618384640325,0.05776394964581294,1.5663110999145893,8934,3881,0.07275390625
astyx,2028,100,100,0.6614760989605477,0.014882939828371234,1.7580459661066834,0.07342723444080344,2.419522065067231,24432,8484,0.27587890625
astyx,2028,250,100,0.6780022393084235,0.014180353717482566,4.496958052664243,0.10961244980481749,5.174960291972666,83918,22917,1.68408203125
astyx,2028,500,100,0.6449340226486174,0.06814688628792429,9.425568375548329,0.49395296920202275,10.070502398196947,206472,47554,6.7041015625
truckscenes,2028,50,80,0.652002848543321,0.017669257871536267,0.8877737630347285,0.044259383053855975,1.5397766115780496,6648,3084,0.07275390625
truckscenes,2028,100,80,0.6510833531759584,0.007647981376406709,1.7066763012516726,0.054861427339176407,2.357759654427631,16942,6622,0.27587890625
truckscenes,2028,250,80,0.674308000627575,0.009929340751744845,4.358064907874111,0.13526512722207393,5.032372908501685,54886,17848,1.68408203125
truckscenes,2028,500,80,0.6276164616493485,0.07166199302887982,9.046230874837764,0.5916282276313382,9.673847336487114,131160,37035,6.7041015625
v2xradarv,2028,50,80,0.6365097758560618,0.01769836945824463,0.9134002177256949,0.053096304851424796,1.5499099935817569,7148,3274,0.07275390625
v2xradarv,2028,100,80,0.6358298573265725,0.008197365940574288,1.7493917765921052,0.06226908779778061,2.3852216339186776,18988,6919,0.27587890625
v2xradarv,2028,250,80,0.6528896827816586,0.007840892650058101,4.447911485817425,0.09641863893326026,5.100801168599084,63862,18438,1.68408203125
v2xradarv,2028,500,80,0.6159956749717269,0.10961262101812365,8.616751843851201,1.7091336417577325,9.232747518822928,158010,38266,6.7041015625
kradar,2028,50,80,0.6459779165024999,0.022570948678716167,0.8757069406300029,0.04870015485469593,1.5216848571325028,5310,2973,0.07275390625
kradar,2028,100,80,0.6429287899709955,0.007838306260559069,1.7327615266217837,0.06268039737293299,2.375690316592779,14662,6781,0.27587890625
kradar,2028,250,80,0.6682249581842106,0.0091269651594778,4.491862460758679,0.0839298160774194,5.160087418942889,59842,18621,1.68408203125
kradar,2028,500,80,0.6086183947664273,0.13097447014419147,8.438252280996759,1.854307975056219,9.046870675763186,148432,38648,6.7041015625
